"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",6.41505437105223,0.162764766627797,159112.895315429,39.4130406964666,0
"an2011",0.257702300644255,0.00661953611941947,146590.508194733,38.9305679424037,0
"an2012",0.32339853259896,0.00676945576291185,153703.924128007,47.7731953535732,0
"an2013",0.344116018935272,0.00719493725318956,160101.84050813,47.8275218846034,0
"an2014",0.33092789929941,0.00741461471909107,161060.834723349,44.6318402016682,0
"an2015",0.306918341124161,0.00777503072341605,153290.84101631,39.4748718098072,0
"an2016",0.251236789803351,0.00819636051847689,139251.322644603,30.6522375677587,1.19922270794256e-205
"an2017",0.247705330112768,0.00855147044038185,120886.381083666,28.966401958551,7.45589622600794e-184
"an2018",0.240582991537535,0.00894984673506443,103523.990790114,26.8812415071824,1.28127654253234e-158
"an2019",0.234509067462233,0.00939503738992817,88990.0406290962,24.9609509498744,4.82535766910985e-137
"an2020",0.211766625546716,0.00985841205927417,77188.1547147447,21.4808048470138,4.69226892653363e-102
"age",0.0683871869493502,0.00221188445888608,161141.915852372,30.9180647635594,2.81174914859984e-209
"age2",-0.000654032278247893,4.0965467502344e-05,159182.825215059,-15.9654537864232,2.46481876374953e-57
"dp",0.00283481599623296,1.78200278186523e-05,155981.977814557,159.080335063548,0
"dp_reste",0.000416503865623922,3.14254599027455e-05,156449.828784526,13.253707882491,4.5139160736165e-40
"pas_an_emploi",0.120487426492518,0.00226293893571386,153192.798646549,53.2437816111504,0
"cumul_emploi",-0.157850654585354,0.00437847417551156,151522.197070266,-36.0515212053094,2.09499417118581e-283
"xp",0.0201451954666723,0.000687994331494899,55252.9706688031,29.2810486140199,4.90062153510787e-187
"nbheur",0.00059170854209775,3.15850405757748e-06,157366.722390688,187.338224460468,0
"nbheur_autre",0.000671843506082637,7.93524621494027e-06,154766.704741504,84.6657416650422,0
"nbsa_ent",-3.12113664878145e-07,4.59983419907075e-08,158962.061825936,-6.78532423932144,1.16229456481582e-11
"nes5ES",-0.253199325368033,0.153575608519748,157664.808513344,-1.64869491847381,0.0992121440902425
"nes5ET",-0.208738961376739,0.153490826506108,157725.803035943,-1.35994421378943,0.173849521906201
"nes5EU",-0.135852403083864,0.153454183756468,157706.612582417,-0.88529618260172,0.37599825811377
"nes5EW",-0.214671730331152,0.153457699437855,157710.096669059,-1.39889840078104,0.161845418781375
"nes5EX",-0.204567637859845,0.221033574480259,159381.617691275,-0.925504816817389,0.354704780604104
"sx1",0.0659181692379105,0.00305038361923404,18259.2674885698,21.6097964932236,2.77156474289912e-102
"sectETAT",-0.0862738716004687,0.0256142277805455,156861.570700029,-3.36820115521871,0.000756785598987743
"sectFPH",-0.0245921950218293,0.0264393406640224,156540.835379131,-0.930136471038908,0.352301863904398
"sectFPT",-0.0669218028080689,0.0253342930957045,156433.765490515,-2.64155003477937,0.00825358215940356
"sectPE",-1.09755700961991,0.0379487156435505,160763.864813032,-28.9221121454855,1.86663503766788e-183
"sectPRIV",0.00492370798881236,0.03053965755922,160231.77713397,0.161223418411445,0.871917640428107
"ceC",-0.0833091750610812,0.0112975804003422,150701.284041878,-7.37407233309511,1.6633665211843e-13
"ceD",-0.182563297725495,0.0314218298031052,157246.499753848,-5.8100784985938,6.25634061545389e-09
"ceP",-0.168803351267944,0.0114436041676924,150982.876591058,-14.7508904357693,3.28604236079154e-49
"commune1",-0.0037017604096396,0.00200072549148723,160520.41756422,-1.85020904936234,0.0642852615560413
"region1",-0.00683361462320121,0.00360016049979879,160468.810614135,-1.89814165884636,0.0576792162839709
"catA",0.169068597593516,0.0197495669332271,161637.115680713,8.56062303366621,1.13220784328339e-17
"catB",0.0166690775840381,0.0194643897385477,161714.618286122,0.856388399941782,0.391784247832101
"catC",0.0285014988224902,0.0183071888158702,161627.874217633,1.556847373409,0.119508684575446
"tain01",-0.0399329727515922,0.00650176826351795,154207.697303669,-6.14186343362312,8.17571919670675e-10
"tain02",-0.0148129519402252,0.00658505552742309,154914.784400826,-2.24948018715067,0.0244833601308003
"tain03",-0.000291047216895399,0.00666438511752082,155433.496578474,-0.0436720285162137,0.965165892045458
"tain04",0.0176988126588011,0.00668965250922314,155997.338229723,2.64569985278002,0.00815302888101435
"tain05",0.0375222556430563,0.00697074876911578,156998.633655048,5.38281566096606,7.34343933825056e-08
"tain06",0.0543460916610532,0.007090024560412,157709.361253983,7.66514857571878,1.79637415411961e-14
"tain07",0.0641758459914317,0.00699503536935535,157933.813441739,9.1744848457208,4.58975741492903e-20
"tain08",0.0710770700519667,0.00728560706231579,158784.799877693,9.75581985742919,1.76741247195557e-22
"tain09",0.0774593522385122,0.00728788729869364,158999.23090769,10.6285057745606,2.24130528617292e-26
"tain10",0.0739424370004211,0.00703972452075911,158065.43076808,10.5035980857455,8.47939439505438e-26
"tain11",0.105173517044037,0.00723823127864991,159506.55456082,14.5302785991738,8.35902374345505e-48
"regt01",-0.041292735450554,0.0500918639864094,161680.262995244,-0.82434016553581,0.409747518589245
"regt02",0.0276946284321723,0.0487298985641036,158986.572708922,0.568329285474305,0.5698121998028
"regt03",0.0200061193080482,0.0547597891093671,148741.102004844,0.365343249735525,0.7148557171876
"regt04",-0.0867482043484175,0.0420657632570067,159199.729113065,-2.06220445397406,0.0391898936531881
"regt06",1.4016510820901,0.262880450556902,151329.510101527,5.33189546472839,9.73317435396459e-08
"regt11",-0.0223069126775471,0.0320155506560119,160525.961439594,-0.696752428756315,0.485958750612817
"regt21",-0.111516543486347,0.0334314000769795,160726.89707842,-3.33568271832971,0.000851094736719758
"regt22",-0.0704757050755737,0.0330391005665124,161004.474483821,-2.13309998962278,0.0329180323358051
"regt23",-0.0871645930669035,0.0329634247986461,161116.487807309,-2.64428206714988,0.00818723367387531
"regt24",-0.100640280057649,0.0323204028894419,161235.346489207,-3.11383123539357,0.00184707411474241
"regt25",-0.0810115484328226,0.0331034795631057,161146.1266423,-2.44722154595226,0.0143972916575134
"regt26",-0.0889305609300017,0.0330890454717488,161145.385682752,-2.68761336756994,0.00719720576977077
"regt27",-0.137875904766767,0.0324329875384375,161377.84213529,-4.25110096944863,2.12841569501603e-05
"regt28",-0.118097234610818,0.0323314714006716,161292.30197697,-3.65270213493484,0.000259577275732379
"regt31",-0.102365760519551,0.0327336707456547,161174.20918044,-3.12723132443494,0.00176492412385893
