"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"regt32",-0.125900532929789,0.0322929636114586,161261.534816036,-3.89869862811586,9.67501567922383e-05
"regt41",-0.0939035129025114,0.0328597390567335,160862.387420027,-2.85770720030319,0.00426768682991544
"regt42",-0.103248833324052,0.0328140447683749,160913.163090411,-3.14648297864091,0.00165276991753455
"regt43",-0.092096066052313,0.0334643690146117,161189.433993059,-2.75206342638944,0.00592276680839855
"regt44",-0.130819666767422,0.032178833011353,160983.98151102,-4.06539499804942,4.79739360809222e-05
"regt52",-0.128165877903278,0.0321923727483512,161057.65105356,-3.9812498104801,6.8583896393709e-05
"regt53",-0.136008664542934,0.0323521231503874,161370.246994764,-4.20401047284297,2.62367803151391e-05
"regt54",-0.0843451893493634,0.0329219251818811,160728.112759435,-2.56197621747174,0.0104087477821579
"regt72",-0.0884645208097785,0.0326357649266844,160856.418782745,-2.71066178496236,0.00671562024172801
"regt73",-0.091241012371986,0.0327034888973036,160806.241623234,-2.78994735572414,0.0052722815963957
"regt74",-0.0701165314173499,0.0349988220981221,160746.562876947,-2.00339689206603,0.0451363801836272
"regt75",-0.136638583365444,0.0321668857297358,160918.902107519,-4.24780267861407,2.15998491467625e-05
"regt76",-0.137185140358295,0.0321826313181828,160904.54282193,-4.26270739026822,2.02079728390157e-05
"regt82",-0.0785081183264494,0.0322905537306868,160737.581508903,-2.43130294330755,0.0150457148726656
"regt83",-0.0457039704687484,0.0333160389370664,160725.214763347,-1.37183086365947,0.170118011650371
"regt84",-0.10082483169298,0.0320951451406058,160798.245975988,-3.1414356050199,0.00168152252527501
"regt91",-0.0963907784210456,0.0328709595377466,160852.863406071,-2.93239929033278,0.00336401381058904
"regt93",-0.0827099900307856,0.0321525129304236,160905.741807889,-2.57242692693308,0.0100997154353333
"regt94",-0.0697222055791679,0.035039899336136,156798.084097084,-1.98979468834446,0.0466152906876873
"departement1",-0.0107140121328921,0.00243622860872548,159664.543715353,-4.39778602653269,1.0943128561243e-05
"A1700",-0.45155872501656,0.305923691441251,155159.3246613,-1.47605019699259,0.139932446521507
"A17BE",0.0677246609477608,0.005042299904528,123779.026527687,13.4313036174115,4.23581295251953e-41
"A17HZ",-0.00290328632065603,0.159118408527366,160555.251159433,-0.0182460744016096,0.985442569359241
"A17IZ",0.00824137863249292,0.159085135917731,160546.970406524,0.0518048313247495,0.958684270333247
"A17JZ",0.120450458111979,0.159152554727571,160570.172076036,0.756823905957146,0.449156479031953
"A17KZ",0.131237441305897,0.159158161536718,160578.964206415,0.824572488389925,0.409615570789776
"A17LZ",0.113698779712431,0.15930786037163,160575.679907164,0.713704769163287,0.475410794046863
"A17MA",0.0880175191097434,0.15911676731745,160557.828653429,0.553163067561206,0.580152524250183
"A17MZ",0.0369650804428825,0.159262213448853,160569.210180339,0.232102013669136,0.816459076692745
"A17NZ",0.0571110949577696,0.159068510927216,160539.262433365,0.359034573372611,0.719569697609478
"A17OP",-0.00480589640356284,0.159205317986605,160563.096476602,-0.030186783107127,0.975918126800393
"A17QZ",-0.0516877515072153,0.159129819444304,160560.661615434,-0.324814995000394,0.745321518205862
"A17RZ",-0.00601032906888191,0.159279737150885,160573.812660261,-0.0377344235769825,0.969899476395531
"A17SZ",-0.0425013310920495,0.159139174261395,160569.840810297,-0.267070199963704,0.789415454451988
"A17TZ",0.636443120190524,0.161823626082833,160626.403221756,3.93294314060636,8.39473000905892e-05
"nb_emploi_autre1",0.240827492153918,0.00312517587293204,152708.596357778,77.0604605775271,0
"nb_emploi_autre2",0.377666788944315,0.00590028224678243,152302.331189483,64.0082581049858,0
"nb_emploi_autre3",0.398667339391726,0.0145945954455312,151287.45328097,27.3160938841779,6.8507217516989e-164
"nb_emploi_autre4 and more",-0.128299146793275,0.0356293934896094,153605.340935036,-3.60093547005483,0.000317174121789336
"an2010:stay_gostay 1 year",-0.0278114297145176,0.00757606473516879,89829.2656466474,-3.67095988309265,0.000241781133771201
"an2011:stay_gostay 1 year",-0.0241403644619611,0.00761761592778084,90853.1683206402,-3.16901832421389,0.00153005432024397
"an2012:stay_gostay 1 year",-0.032698278587706,0.0077719425295547,94593.24562983,-4.20722084129712,2.58768347757461e-05
"an2013:stay_gostay 1 year",-0.0437612154239261,0.00789484963728066,97314.7212677932,-5.54300809191845,2.98087330989183e-08
"an2014:stay_gostay 1 year",-0.0577209529764912,0.00783671867774477,95405.7745354935,-7.36544915672563,1.77967870791343e-13
"an2015:stay_gostay 1 year",-0.0541093725844853,0.00790686864108835,96981.176045074,-6.8433377409742,7.7826071853813e-12
"an2016:stay_gostay 1 year",-0.0186731475099234,0.0080101324583218,99409.3216382825,-2.33119085197196,0.0197452865672696
"an2017:stay_gostay 1 year",-0.0277687419854148,0.00804881654747161,100176.284397899,-3.45004036576505,0.000560733424429159
"an2018:stay_gostay 1 year",-0.0371032758059142,0.00808298096593164,100827.083076899,-4.59029607545757,4.43150668128989e-06
"an2019:stay_gostay 1 year",-0.0244497338821218,0.00816369285654001,102686.429077406,-2.99493554103213,0.00274568267359993
"an2020:stay_gostay 1 year",-0.0227060935085502,0.00822128412204415,103922.279738263,-2.761867023628,0.00574819711880354
"an2010:stay_goLeave immediately",0.0053548156566818,0.00636008144634267,92341.7789152348,0.841941365351706,0.399822955164238
"an2011:stay_goLeave immediately",0.0288832727059555,0.00643846607843843,94006.3247713225,4.48604875044411,7.26419618802212e-06
"an2012:stay_goLeave immediately",-0.0405695039298474,0.00644589777485156,93881.1539708094,-6.29384848269358,3.11051442891193e-10
"an2013:stay_goLeave immediately",-0.0622894874117004,0.00648112483979556,94421.992844864,-9.61090689523968,7.35905088964945e-22
"an2014:stay_goLeave immediately",-0.070385914186478,0.00642103445991076,91987.7393928407,-10.9617717559261,6.07181715343978e-28
"an2015:stay_goLeave immediately",-0.0724984935197325,0.00650350835884325,94193.2595825444,-11.1475974996098,7.66913402247402e-29
"an2016:stay_goLeave immediately",-0.0478441077562961,0.00661772526374847,97302.9724200138,-7.22969084533978,4.87633337529477e-13
"an2017:stay_goLeave immediately",-0.0527615459550638,0.006645939429307,97696.7702031837,-7.93891465853541,2.06106914058339e-15
"an2018:stay_goLeave immediately",-0.0683037736225946,0.00667968368228167,98309.393046445,-10.2256000241112,1.56655118379855e-24
"an2019:stay_goLeave immediately",-0.0686750373749334,0.00674386413561435,99795.6288151657,-10.183336436489,2.41897625593844e-24
"an2020:stay_goLeave immediately",-0.0662849888373238,0.00679252276872144,100869.966952459,-9.75852287791457,1.73541707760381e-22
"an2010:stay_goUnemployed or studying",-0.0236621131117047,0.0111091002497472,91032.2155376473,-2.12997565777148,0.0331762971394996
"an2012:stay_goUnemployed or studying",-0.125298749716295,0.0138601593479118,128641.052338111,-9.04020989738283,1.58463357387177e-19
"an2013:stay_goUnemployed or studying",-0.139873196107041,0.0123869634036725,108401.323387934,-11.291968140115,1.49357129032321e-29
"an2014:stay_goUnemployed or studying",-0.121128152796265,0.011894943465076,99875.7075569846,-10.1831633880314,2.42322540000687e-24
"an2015:stay_goUnemployed or studying",-0.102909911374742,0.0122146693827396,104240.983380197,-8.42510821620461,3.6492000742559e-17
"an2016:stay_goUnemployed or studying",-0.069841526781408,0.0123929385155575,106495.78272534,-5.63559051743318,1.7489873567832e-08
"an2017:stay_goUnemployed or studying",-0.0707150299710926,0.0124300215996714,106559.401456064,-5.68905125417982,1.2808060236299e-08
"an2018:stay_goUnemployed or studying",-0.0860537267542865,0.0123541968100482,104823.181502929,-6.9655460470158,3.29049099675844e-12
"an2019:stay_goUnemployed or studying",-0.109251460940081,0.012386826398404,104880.027376252,-8.81997191420701,1.16193888238088e-18
"an2020:stay_goUnemployed or studying",-0.116893673210286,0.0126208667647407,108201.129158571,-9.26193702772104,2.04277814542735e-20
