"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"regt25",-0.109711882399238,0.066193293990638,123687.734901897,-1.65744708844305,0.0974316540042545
"regt26",-0.124212022235645,0.0661202552702907,123525.709579242,-1.87857747565982,0.0603045621663992
"regt27",-0.167069633004835,0.0664077901251871,123391.680678716,-2.51581377259938,0.0118770502453846
"regt28",-0.14963065466581,0.0662681773891265,123330.142781742,-2.25795639115257,0.0239501187540955
"regt31",-0.140129829195454,0.0660309871962553,123425.55706733,-2.12218285907137,0.0338243712772673
"regt32",-0.16996959608277,0.0662216688028278,123183.331175346,-2.56667642413011,0.0102690080529587
"regt41",-0.122357358649497,0.0659908232860637,123255.979920763,-1.8541571775683,0.0637190635837853
"regt42",-0.116939203184122,0.0660357552179067,123427.723942313,-1.77084676018685,0.0765886552433806
"regt43",-0.133284306591938,0.0663047525570767,123943.690942078,-2.01017727163983,0.0444145924693253
"regt44",-0.160013272478213,0.0660659239500455,123050.139350163,-2.42202428893909,0.0154357539565165
"regt52",-0.132185002990307,0.0658654205151716,123174.613474053,-2.00689530191125,0.0447629932306095
"regt53",-0.147870477091194,0.065960817067448,123438.936854384,-2.24179268337427,0.0249765433364793
"regt54",-0.155907511545021,0.0661058892337373,123476.008697643,-2.35845116603397,0.0183529234906362
"regt72",-0.145275118016414,0.0659867843333698,123345.323245721,-2.2015789901577,0.0276969060509432
"regt73",-0.15317489992261,0.0660252412497781,123401.794465385,-2.31994457003404,0.0203454989766138
"regt74",-0.145948452639518,0.0667717974759864,124179.910871988,-2.18577989744857,0.0288335731477926
"regt75",-0.185498797035994,0.0661019861892248,123135.593903837,-2.80625148698227,0.00501294236528328
"regt76",-0.163239319378539,0.0661685720578441,123141.199345183,-2.46702194564266,0.0136255511570953
"regt82",-0.106218172976624,0.0658234018030765,123035.54425874,-1.61368404043285,0.106598541918849
"regt83",-0.139680033875209,0.0662641819467736,123671.69307998,-2.10792663202885,0.0350393428269161
"regt84",-0.114574593571501,0.0659719806204892,123004.004015435,-1.73671598902879,0.0824398176069975
"regt91",-0.132247419211213,0.0660390485818548,123345.77986755,-2.00256396860857,0.045226295241739
"regt93",-0.112768980152753,0.0658632364460279,123208.372780102,-1.71216882494322,0.086868077162411
"regt94",-0.0769099252153427,0.0677168129589593,125168.169391469,-1.13575819437863,0.256059952449173
"departement1",-0.0247058289465041,0.00294813939604862,122873.557642082,-8.38014273667563,5.34116300175473e-17
"A1700",0.200266964439718,0.272502282611019,122247.594062199,0.734918484061242,0.462390550224823
"A17AZ",0.0611565321496165,0.0562938075600136,119911.611023662,1.08638116340627,0.277312575606112
"A17BE",0.0736699837536902,0.0539846929138256,118552.78754868,1.36464578711762,0.172366996504316
"A17CA",0.0392136811839492,0.0541352232855062,118832.166622711,0.724365372562302,0.468842878787388
"A17FZ",0.0751303767789186,0.0544060028841108,118512.828319755,1.38092072190917,0.167305941716109
"A17GZ",0.0039466856152805,0.0538981240583437,118409.259690627,0.0732249161586457,0.941627263062862
"A17HZ",0.0372646851231791,0.0529319580525507,118183.011153964,0.704011083175551,0.481427258599968
"A17IZ",0.0349262337283687,0.0529359471368227,118507.638026046,0.659782919121017,0.509394428308747
"A17JZ",0.149286019452791,0.0533319860270027,119199.969332943,2.79918357769774,0.00512402321804331
"A17KZ",0.140788699354982,0.0531940684893515,119304.232697436,2.64669921578127,0.00812922841748318
"A17LZ",0.0740262063830141,0.0537515343351158,119461.562940348,1.37719243364283,0.168455340938438
"A17MA",0.0830126789251329,0.0530457790012465,118672.59599951,1.564925249249,0.117603103947009
"A17MZ",0.0600086784802692,0.0537595856807917,119530.715373099,1.11624146131971,0.264321035329174
"A17NZ",0.0508439211199884,0.0528926035342343,118335.247488294,0.96126712853301,0.336419835510537
"A17OP",-0.0105106186397676,0.0535147593417306,119060.055226582,-0.196405977884525,0.844292752928998
"A17QZ",-0.0705100757506493,0.0531956489113825,118890.695341544,-1.32548577174254,0.185012632436922
"A17RZ",0.0288714639033064,0.0537545373637647,119520.596114745,0.53709817476298,0.591200801351492
"A17SZ",-0.0117317106491633,0.0530815242817551,119046.890069134,-0.2210130701389,0.825082635154361
"A17TZ",0.201960012977563,0.0644461775695648,122009.209487933,3.13377799264452,0.00172612229826368
"nb_emploi_autre1",0.244132074376426,0.00352114333583772,119833.659802277,69.333182745412,0
"nb_emploi_autre2",0.371377201484185,0.00653009118149991,119739.009012685,56.8716716446955,0
"nb_emploi_autre3",0.40673499163218,0.0150256438846519,118944.719679656,27.069388490409,6.97074392689431e-161
"nb_emploi_autre4 and more",0.0415240482161292,0.0372436631355368,119852.96213292,1.11492921802604,0.264882990425265
"an2004:stay_gostay 1 year",-0.0501178766378658,0.00835528477128614,76024.8601013901,-5.9983445220325,2.00236218099496e-09
"an2005:stay_gostay 1 year",-0.00030845660328305,0.00845053658560813,77655.8899272505,-0.0365014221473668,0.970882638578695
"an2006:stay_gostay 1 year",-0.0355971362871892,0.00862186419657491,80541.9333561272,-4.12870528641942,3.6517865395357e-05
"an2007:stay_gostay 1 year",-0.0242779032952533,0.00860088033231489,79827.9004554616,-2.82272306522361,0.00476294577401543
